Plate_Number,Count_of_Occurrences
06 T 1110,3
06T 110,1
06 T Im10,2
06 T 110,2
 06 T 1110,1
16 C 555,1
16 CHA 535,1
16 CLL 535,1
06 ChA 535,1
06 CHA 53,1
06 CHA535,4
16 ChA 53,1
06 CHD 53,1
06 Ch 53,1
06 CHL 53,1
06 CH 53,1
06 ChL 55,1
06 CH 55,3
06 CHL 55,5
06 CHA 65,3
06 CHA 55,12
06 CHL535,4
06 ChA 55,1
06 CHL 535,1
06 CHA 535,3
05 CHL 535,1
06 CHD 535,1
06   CHA 55,1
06  CHA 555,2
06  CHD 55,1
06  CHD 53,1
06 CHA 555,4
06  CHA 55,1
06 CM 555,1
06 C 55,3
06 CHD 55,3
16 CHA 55,1
06 CHL 555,1
06 ch 535,2
06 LM55,1
06 L555,2
06 C 65,1
06 c 55,1
06aC 55,1
06 C 535,2
06 Ch 55,2
06 Ch 65,1
06 T 11,1
06 CH 65,1
06 ChL 535,3
06 ChD 15,1
16 CI 55,1
06 gK 4127,1
06 GK 4127,21
06 GK 127,10
06 GX 127,1
06 T II10,1
16 GK 4127,1
16 ChL535,1
05 CHL535,1
06 chL53,1
06 ch 525,1
16 C 535,1
06 C 533,1
05 Ch 535,2
06 Ch 535,3
06 ChL535,3
06 ChL 525,1
06 Ch535,1
06 C 537,1
06 CHD 106,1
16 DHC 230,1
38 ZN 409,35
38 ZN L09,2
38 ZM409,5
38ZM409,2
38 ZN 4091,17
38 ZK491,1
38 ZN 609,6
38 ZM 4091,8
38 ZN409,7
38 ZN4091,4
58 ZN 4091,1
58 ZN 409,2
58 ZM409,3
58 ZN409,2
58 ZM 4091,1
38 ZM609,1
38 ZN609,1
38 ZM6091,1
38 ZM 409,3
38 ZM4091,4
38 ZM 6091,1
38 ZM 609,1
38 Zm 409,2
58ZM409,1
58EZN409,1
38 Zn 409,3
08 ZN409,4
05 LD950,2
05 Q90,1
05 CD954,1
08 ZM409,2
06 CD9545,2
06 T 027,1
08 ZM4091,1
38 Zn 4091,1
08ZM4091,1
